stage: 1
0 0.0453613 0.540101
0 0.0454753 0.540101
0 0.0455892 0.540096
0 0.0457032 0.540096
0 0.0458172 0.540048
0 0.0459312 0.540027
0 0.0460451 0.540015
0 0.0461591 0.540013
0 0.0462731 0.54001
0 0.0463871 0.540006
0 0.046501 0.539993
0 0.046615 0.539982
0 0.046729 0.539972
0 0.0468429 0.53997
0 0.0469569 0.539968
0 0.0470709 0.539937
0 0.0471849 0.539932
0 0.0472988 0.539932
0 0.0474128 0.53993
0 0.0475268 0.539904
0 0.0476408 0.539901
0 0.0477547 0.539894
0 0.0478687 0.539892
0 0.0479827 0.539885
0 0.0480966 0.539885
0 0.0482106 0.539867
0 0.0483246 0.539866
0 0.0484386 0.539865
0 0.0485525 0.539862
0 0.0486665 0.539857
0 0.0487805 0.539854
0 0.0488945 0.539844
0 0.0490084 0.539838
0 0.0491224 0.539836
0 0.0492364 0.53982
0 0.0493504 0.539814
0 0.0494643 0.539813
0 0.0495783 0.5398
0 0.0496923 0.539798
0 0.0498062 0.539796
0 0.0499202 0.539787
0 0.0500342 0.539786
0 0.0501482 0.53977
0 0.0502621 0.539766
0 0.0503761 0.539765
0 0.0504901 0.539762
0 0.0506041 0.53976
0 0.050718 0.539759
0 0.050832 0.539747
0 0.050946 0.539747
0 0.0510599 0.539744
0 0.0511739 0.53974
0 0.0512879 0.539735
0 0.0514019 0.539733
0 0.0515158 0.539719
0 0.0516298 0.539718
0 0.0517438 0.539713
0 0.0518578 0.5397
0 0.0519717 0.539687
0 0.0520857 0.539684
0 0.0521997 0.539681
0 0.0523137 0.539664
0 0.0524276 0.539663
0 0.0525416 0.539646
0 0.0526556 0.53964
0 0.0527695 0.539632
0 0.0528835 0.539631
0 0.0529975 0.539605
0 0.0531115 0.539604
0 0.0532254 0.539587
0 0.0533394 0.539578
0 0.0534534 0.539568
0 0.0535674 0.53956
0 0.0536813 0.539548
0 0.0537953 0.539527
0 0.0539093 0.539515
0 0.0540233 0.539498
0 0.0541372 0.539479
0 0.0542512 0.539478
0 0.0543652 0.539476
0 0.0544791 0.539474
0 0.0545931 0.539462
0 0.0547071 0.539461
0 0.0548211 0.539456
0 0.054935 0.539446
0 0.055049 0.539442
0 0.055163 0.53944
0 0.055277 0.539434
0 0.0553909 0.53943
0 0.0555049 0.539426
0 0.0556189 0.539423
0 0.0557328 0.539422
0 0.0558468 0.53942
0 0.0559608 0.539419
0 0.0560748 0.539413
0 0.0561887 0.539411
